id,nombre,institucion,url,reason
"102","FAO TCP/RLA – Programa de Cooperación Técnica para Resiliencia Climática Chile 2026","FAO","https://www.fao.org/technical-cooperation-programme/tcp-guidelines/es/","HTTP 404"
"103","FIDA – Proyecto de Inclusión Financiera para Pequeños Agricultores Andinos","FIDA","https://www.ifad.org/en/web/operations/country/chile","HTTP 403"
"104","BID – Modernización de Servicios de Extensión Agrícola Chile (Asistencia Técnica)","BID","https://www.iadb.org/es/project/CH-L1171","HTTP 403"
"108","MINAGRI-SAG – Programa Nacional de Trazabilidad y Sanidad Vegetal 2026","MINAGRI","https://www.sag.gob.cl/content/concursos-abiertos","HTTP 404"
"109","INDAP – Programa de Desarrollo Agroalimentario para Agricultura Familiar Campesina 2026","INDAP","https://www.ventanillaunicasocial.gob.cl/ficha/1070-programa-de-desarrollo-local-prodesal","redirige a homepage"
"111","CORFO – Programa de Transformación Agroalimentaria: Eficiencia y Digitalización 2026","CORFO","https://www.corfo.cl/sites/cpp/convocatorias","fetch failed"
"112","FAO TCP/RLA – Fortalecimiento de Sistemas de Información Agrícola para la Seguridad Alimentaria","FAO","https://www.fao.org/technical-cooperation-programme/tcp-guidelines/es/","HTTP 404"
"114","BID – Programa Regional de Transformación de Sistemas Alimentarios Sostenibles (PTSA)","BID","https://www.iadb.org/es/sectores/agricultura-y-desarrollo-rural/resumen","HTTP 403"
"115","GCF – Fondo Verde para el Clima: Agricultura Regenerativa en Patagonia Chilena","GCF","https://www.greenclimate.fund/projects/funding-proposals","HTTP 404"
"161","Unión Europea (EuropeAid) – AL-INVEST Verde: Cadenas Libres de Deforestación","Unión Europea","https://ec.europa.eu/europeaid/","HTTP 403"
"120","AECID – Programa de Cooperación para el Desarrollo Rural Sostenible en Chile 2026","UE (AECID)","https://www.aecid.es/es/convocatorias-activas","HTTP 404"
"122","IICA Hemisférico – Fondo Sur-Sur: Transferencia de Innovaciones Exitosas entre Países ALC","IICA Hemisférico","https://www.iica.int/es/nuestro-trabajo/cooperacion/cooperacion-sur-sur","HTTP 404"
"126","GIZ – Fondo Regional de Cooperación Triangular ALC (Ronda Abril 2026)","GIZ / BMZ (Alemania)","https://fondo-cooperacion-triangular.net/postulacion-de-proyectos/","HTTP 404"
"163","IFAD (FIDA) – Rural Poverty Reduction & Digital Extension","FIDA","https://www.ifad.org","HTTP 403"
"132","FIDA – FO4IMPACT: Fortalecimiento de Organizaciones de Agricultores ALC","FIDA / IFAD","https://www.ifad.org/en/fo4impact","HTTP 403"
"134","SIRSD-S 2026 – Sistema de Incentivos para la Sustentabilidad Agroambiental (SAG)","SAG / MINAGRI","https://www.sag.gob.cl/ambitos-de-accion/sirsd-s-sistema-de-incentivos-para-la-sustentabilidad-agroambiental-de-los-suelos","HTTP 404"
"138","Fondo Conjunto Chile–UE: Cooperación Triangular para Tercer País (AGCID)","AGCID / Unión Europea","https://www.agcid.gob.cl/cooperacion-triangular/","HTTP 404"
"201","FIC-R Valparaíso 2026: Adaptación Hídrica para la Agricultura Familiar Campesina","GORE Valparaíso","https://www.gorevalparaiso.cl/fondos/fic-r","fetch failed"